creation_date,total_gigabytes_processed,total_gigabytes_billed,total_euros_billed
2025-02-01,7.38,7.38,0.04
2025-02-02,3.11,3.11,0.02
2025-02-03,1410.84,1367.13,6.68
2025-02-04,5629.62,5634.03,27.51
2025-02-05,12341.96,12342.35,60.27
2025-02-06,10574.53,10575.25,51.64
2025-02-07,4744.40,4744.97,23.17
2025-02-08,9.27,9.27,0.05
2025-02-09,73.77,73.78,0.36
2025-02-10,8474.02,8454.22,41.28
2025-02-11,1085.56,1043.17,5.09
2025-02-12,6305.32,6306.01,30.79
2025-02-13,13629.75,13632.45,66.56
2025-02-14,14625.79,14630.15,71.44
2025-02-15,2966.49,2977.37,14.54
2025-02-16,6105.60,6112.87,29.85
2025-02-17,1235.26,1236.63,6.04
2025-02-18,34092.48,34162.96,166.81
2025-02-19,5310.04,5327.14,26.01
2025-02-20,17469.60,17510.58,85.50
2025-02-21,6878.41,6885.09,33.62
2025-02-22,23.90,23.91,0.12
2025-02-23,4537.10,4538.89,22.16
2025-02-24,6935.12,6955.41,33.96
2025-02-25,12592.79,12622.46,61.63
2025-02-26,3636.97,3648.03,17.81
